Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Andre-Frank Zambo Anguissa,cm CMR,MF,27-206,33.9,3,0,0,44,48,2,24,49,32,1.0,0.0,0,226.0,47.0,27.0,63.5,Matches,napoli
Kim Min-jae,kr KOR,DF,26-207,33.9,5,0,0,30,7,0,6,41,30,0.0,0.0,0,211.0,91.0,54.0,62.8,Matches,napoli
Stanislav Lobotka,sk SVK,MF,28-197,34.5,2,0,0,25,55,0,2,23,44,1.0,0.0,0,254.0,12.0,17.0,41.4,Matches,napoli
Alex Meret,it ITA,GK,26-080,34.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,66.0,4.0,0.0,100.0,Matches,napoli
Victor Osimhen,ng NGA,FW,24-163,28.5,4,0,0,40,38,32,19,6,6,2.0,1.0,0,58.0,65.0,54.0,54.6,Matches,napoli
Khvicha Kvaratskhelia,ge GEO,FW,22-118,28.0,1,0,0,20,45,6,76,5,23,4.0,0.0,0,118.0,8.0,13.0,38.1,Matches,napoli
Amir Rrahmani,xk KVX,DF,29-106,27.2,2,0,0,22,12,1,1,14,18,0.0,0.0,0,162.0,67.0,40.0,62.6,Matches,napoli
Piotr Zieliński,pl POL,MF,29-021,25.4,3,0,0,21,35,2,112,14,10,0.0,0.0,0,102.0,4.0,13.0,23.5,Matches,napoli
Mário Rui,pt POR,DF,32-014,19.4,2,1,0,19,31,0,110,15,22,0.0,0.0,0,155.0,13.0,25.0,34.2,Matches,napoli
Hirving Lozano,mx MEX,FW,27-315,17.8,3,0,0,27,31,4,73,15,13,0.0,0.0,0,60.0,8.0,13.0,38.1,Matches,napoli
Mathías Olivera,uy URU,DF,25-222,18.3,2,0,0,21,25,2,19,22,23,0.0,0.0,0,99.0,33.0,42.0,44.0,Matches,napoli
Elif Elmas,mk MKD,"FW,MF",23-259,18.1,5,0,0,22,14,3,30,11,13,0.0,0.0,0,77.0,5.0,14.0,26.3,Matches,napoli
Matteo Politano,it ITA,FW,29-311,13.0,1,0,0,11,22,1,82,7,9,0.0,0.0,0,66.0,3.0,6.0,33.3,Matches,napoli
Juan Jesus,br BRA,DF,32-000,10.4,2,0,0,10,5,0,0,10,11,0.0,0.0,0,58.0,30.0,9.0,76.9,Matches,napoli
Giacomo Raspadori,it ITA,"FW,MF",23-112,10.1,1,0,0,7,12,1,32,4,8,0.0,0.0,0,31.0,3.0,8.0,27.3,Matches,napoli
Tanguy Ndombele,fr FRA,MF,26-164,9.0,5,0,0,15,23,0,1,7,8,0.0,1.0,0,42.0,7.0,3.0,70.0,Matches,napoli
Leo Skiri Østigård,no NOR,DF,23-194,4.7,1,0,0,2,4,0,0,6,1,0.0,0.0,0,18.0,30.0,7.0,81.1,Matches,napoli
Pierluigi Gollini,it ITA,GK,28-084,4.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,,Matches,napoli
Alessio Zerbin,it ITA,FW,24-099,2.2,1,0,0,9,6,1,1,2,5,0.0,0.0,0,8.0,0.0,1.0,0.0,Matches,napoli
Bartosz Bereszyński,pl POL,DF,30-333,1.8,1,0,0,2,2,0,0,3,2,0.0,0.0,0,14.0,2.0,1.0,66.7,Matches,napoli
Diego Demme,de GER,MF,31-201,1.6,0,0,0,2,3,0,0,0,0,0.0,0.0,0,5.0,2.0,1.0,66.7,Matches,napoli
Giovanni Simeone,ar ARG,FW,27-340,4.5,1,0,0,7,9,1,2,1,3,0.0,0.0,0,15.0,6.0,19.0,24.0,Matches,napoli
Gianluca Gaetano,it ITA,MF,23-036,0.8,0,0,0,2,1,0,1,1,3,0.0,0.0,0,6.0,0.0,0.0,,Matches,napoli
Karim Zedadka,fr FRA,FW,23-001,0.2,0,0,0,0,4,0,1,0,0,0.0,0.0,0,0.0,1.0,1.0,50.0,Matches,napoli
Adam Ounas,dz ALG,FW,26-211,0.2,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Matches,napoli
Felipe Anderson,br BRA,FW,30-056,32.9,3,0,0,40,33,7,50,31,50,1.0,0.0,0,142.0,14.0,21.0,40.0,Matches,lazio
