Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Marc-Oliver Kempf,de GER,DF,26.0,12,10,840.0,9.3,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.1,1.1,0.6,1.7,11.0,56.0,6.0,0.32,0.0,0.32,0.32,0.32,0.11,0.07,0.18,0.11,0.18,Matches,stuttgart
Pascal Stenzel,de GER,DF,25.0,16,9,899.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.4,13.0,54.0,20.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Matches,stuttgart
Mateo Klimowicz,de GER,"MF,FW",21.0,15,7,603.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.4,1.2,14.0,30.0,25.0,0.0,0.15,0.15,0.0,0.15,0.12,0.05,0.17,0.12,0.17,Matches,stuttgart
Hamadi Al Ghaddioui,ma MAR,FW,30.0,10,7,498.0,5.5,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.7,1.7,1.0,2.7,3.0,5.0,29.0,0.36,0.36,0.72,0.36,0.72,0.31,0.18,0.49,0.31,0.49,Matches,stuttgart
Nikolas Nartey,dk DEN,"MF,DF",21.0,8,4,404.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,3.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,stuttgart
Fabian Bredlow,de GER,GK,26.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,stuttgart
Philipp Klement,de GER,MF,28.0,6,3,338.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.3,8.0,28.0,17.0,0.27,0.0,0.27,0.27,0.27,0.07,0.27,0.34,0.07,0.34,Matches,stuttgart
Silas Katompa,cd COD,"FW,MF",22.0,9,3,277.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,stuttgart
Alexis Tibidi,fr FRA,"MF,FW",17.0,13,2,385.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,8.0,8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.18,0.1,0.18,Matches,stuttgart
Daniel Didavi,de GER,"MF,FW",31.0,10,2,277.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.7,1.5,6.0,9.0,25.0,0.0,0.32,0.32,0.0,0.32,0.25,0.24,0.49,0.25,0.49,Matches,stuttgart
Erik Thommy,de GER,"FW,MF",26.0,11,1,274.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,4.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.31,0.1,0.31,Matches,stuttgart
