Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Javier Llabrés,es ESP,"FW,MF",18.0,5,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.17,0.08,0.17,Matches,mallorca
Matthew Hoppe,us USA,"FW,MF",20.0,5,1,131.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.0,1.0,9.0,0.0,0.69,0.69,0.0,0.69,0.1,0.08,0.18,0.1,0.18,Matches,mallorca
Aleix Febas,es ESP,MF,25.0,4,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,mallorca
Dominik Greif,sk SVK,GK,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,mallorca
Josep Antoni Gayá,es ESP,DF,21.0,1,1,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,mallorca
Clément Grenier,fr FRA,MF,30.0,5,0,60.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,1.0,2.0,2.0,1.5,0.0,1.5,1.5,1.5,0.92,0.02,0.94,0.92,0.94,Matches,mallorca
Marc Carmona,es ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,mallorca
Marcos Fernández Cózar,,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,mallorca
Pablo Gálvez,es ESP,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,mallorca
Tomás Giaquinto,ar ARG,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,mallorca
Pere Joan,es ESP,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,mallorca
Miguelito,es ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,mallorca
Victor Mollejo,es ESP,"FW,MF",20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,mallorca
Alfonso Espino,uy URU,DF,29.0,37,37,3329.0,37.0,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.7,1.5,2.5,4.0,62.0,124.0,123.0,0.05,0.05,0.11,0.05,0.11,0.05,0.07,0.11,0.04,0.11,Matches,cadiz
Álvaro Negredo,es ESP,FW,35.0,34,24,2157.0,24.0,7.0,2.0,9.0,5.0,2.0,3.0,3.0,0.0,7.3,4.9,2.7,7.6,20.0,50.0,104.0,0.29,0.08,0.38,0.21,0.29,0.3,0.11,0.42,0.21,0.32,Matches,cadiz
Fali,es ESP,"DF,MF",27.0,28,23,1803.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,1.4,2.0,9.0,49.0,6.0,0.0,0.1,0.1,0.0,0.1,0.03,0.07,0.1,0.03,0.1,Matches,cadiz
Álex Fernández,es ESP,MF,28.0,32,22,2051.0,22.8,3.0,2.0,5.0,2.0,1.0,2.0,2.0,0.0,3.0,1.5,1.3,2.7,48.0,122.0,44.0,0.13,0.09,0.22,0.09,0.18,0.13,0.06,0.19,0.06,0.12,Matches,cadiz
Carlos Akapo,gq EQG,DF,28.0,25,21,1844.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.3,0.8,35.0,51.0,52.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,cadiz
Anthony Lozano,hn HON,"FW,MF",28.0,31,21,1672.0,18.6,7.0,2.0,9.0,7.0,0.0,0.0,8.0,0.0,5.1,5.0,0.9,5.9,43.0,25.0,84.0,0.38,0.11,0.48,0.38,0.48,0.27,0.05,0.32,0.27,0.32,Matches,cadiz
Víctor Chust,es ESP,DF,21.0,25,20,1830.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.0,0.7,17.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,cadiz
Rubén Sobrino,es ESP,"FW,MF",29.0,33,19,1861.0,20.7,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,5.4,5.3,1.8,7.1,36.0,38.0,87.0,0.19,0.05,0.24,0.19,0.24,0.26,0.09,0.35,0.26,0.35,Matches,cadiz
Isaac Carcelen,es ESP,"DF,MF",28.0,25,17,1544.0,17.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,29.0,62.0,32.0,0.0,0.06,0.06,0.0,0.06,0.02,0.03,0.05,0.02,0.05,Matches,cadiz
Salvi,es ESP,"MF,FW",30.0,23,17,1395.0,15.5,2.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,2.6,1.8,1.2,3.0,36.0,25.0,88.0,0.13,0.06,0.19,0.13,0.19,0.17,0.08,0.24,0.12,0.19,Matches,cadiz
Jens Jønsson,dk DEN,MF,28.0,22,17,1303.0,14.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.9,1.3,4.0,20.0,13.0,0.0,0.07,0.07,0.0,0.07,0.03,0.06,0.09,0.03,0.09,Matches,cadiz
Varazdat Haroyan,am ARM,DF,28.0,17,16,1437.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.7,0.7,0.1,0.8,5.0,22.0,5.0,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.05,0.05,0.05,Matches,cadiz
Tomás Alarcón,cl CHI,MF,22.0,23,16,1425.0,15.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,1.1,2.2,6.0,55.0,13.0,0.0,0.06,0.06,0.0,0.06,0.07,0.07,0.14,0.07,0.14,Matches,cadiz
Luis Hernández,es ESP,DF,32.0,16,15,1366.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.2,0.7,7.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches,cadiz
Rubén Alcaraz,es ESP,MF,30.0,14,12,1105.0,12.3,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.3,1.3,0.9,2.3,26.0,87.0,21.0,0.16,0.0,0.16,0.16,0.16,0.11,0.08,0.18,0.11,0.18,Matches,cadiz
Iván Alejo,es ESP,"MF,FW",26.0,20,11,1065.0,11.8,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.4,1.4,1.8,3.2,63.0,25.0,88.0,0.17,0.17,0.34,0.17,0.34,0.12,0.15,0.27,0.12,0.27,Matches,cadiz
