Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Maghnes Akliouche,fr FRA,"MF,FW",19.0,7,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.3,0.24,0.3,Matches,monaco
Wilson Isidor,fr FRA,"FW,MF",20.0,4,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches,monaco
Cesc Fàbregas,es ESP,MF,34.0,2,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.52,Matches,monaco
Félix Lemaréchal,ci CIV,MF,17.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,monaco
Tiago Ribeiro,pt POR,FW,19.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,monaco
Eric Ayiah,gh GHA,FW,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,monaco
Radosław Majecki,pl POL,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,monaco
Vito Mannone,it ITA,GK,33.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,monaco
Anthony Musaba,nl NED,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,monaco
Martin Terrier,fr FRA,"FW,MF",24.0,37,37,2779.0,30.9,21.0,3.0,24.0,19.0,2.0,2.0,1.0,0.0,13.9,12.3,4.4,16.7,85.0,123.0,228.0,0.68,0.1,0.78,0.62,0.71,0.45,0.14,0.59,0.4,0.54,Matches,rennes
Hamari Traoré,ml MLI,DF,29.0,33,33,2890.0,32.1,3.0,10.0,13.0,3.0,0.0,0.0,4.0,0.0,1.5,1.5,4.8,6.3,65.0,177.0,180.0,0.09,0.31,0.4,0.09,0.4,0.05,0.15,0.2,0.05,0.2,Matches,rennes
