Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Paul-Georges Ntep,cm CMR,"FW,MF",29.0,16,4,503.0,5.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.1,2.1,0.7,2.8,16.0,11.0,46.0,0.18,0.18,0.36,0.18,0.36,0.38,0.12,0.5,0.38,0.5,Matches,boavista
Tomás Reymão,pt POR,MF,23.0,12,3,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,boavista
Tiago Fonseca Morais,pt POR,"MF,FW",17.0,13,3,310.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.3,0.9,5.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.17,0.09,0.26,0.17,0.26,Matches,boavista
Chidozie Awaziem,ng NGA,DF,24.0,3,3,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,6.0,0.0,0.0,0.33,0.33,0.0,0.33,0.0,0.12,0.12,0.0,0.12,Matches,boavista
Jeriel Córdova,ve VEN,"FW,MF",19.0,16,1,210.0,2.3,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.5,1.5,0.2,1.7,4.0,2.0,16.0,0.86,0.0,0.86,0.86,0.86,0.64,0.07,0.71,0.64,0.71,Matches,boavista
Marcelo Djaló,gw GNB,DF,27.0,1,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches,boavista
Miguel Reisinho,pt POR,"FW,MF",22.0,2,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.43,0.35,0.78,0.43,0.78,Matches,boavista
Manuel Namora,pt POR,"MF,DF",23.0,2,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,boavista
Francisco Pereira,pt POR,MF,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,boavista
Berna,pt POR,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,boavista
João Gonçalves,pt POR,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,boavista
Guito,pt POR,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,boavista
Rui Santos,pt POR,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,boavista
Samuel Portugal,br BRA,GK,27.0,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,portimonense
Pedrão,br BRA,DF,24.0,28,28,2501.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.4,1.4,0.7,2.1,13.0,72.0,11.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches,portimonense
Iván Angulo,co COL,"FW,MF",22.0,32,27,2355.0,26.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,2.0,3.4,65.0,63.0,170.0,0.04,0.04,0.08,0.04,0.08,0.05,0.08,0.13,0.05,0.13,Matches,portimonense
Carlinhos,br BRA,MF,27.0,31,26,2287.0,25.4,3.0,1.0,4.0,3.0,0.0,1.0,7.0,0.0,2.9,2.1,2.5,4.6,44.0,144.0,59.0,0.12,0.04,0.16,0.12,0.16,0.11,0.1,0.21,0.08,0.18,Matches,portimonense
Willyan,br BRA,"DF,MF",26.0,26,26,2131.0,23.7,1.0,3.0,4.0,1.0,0.0,0.0,12.0,1.0,1.6,1.6,1.2,2.8,6.0,64.0,4.0,0.04,0.13,0.17,0.04,0.17,0.07,0.05,0.12,0.07,0.12,Matches,portimonense
Lucas Possignolo,br BRA,DF,27.0,25,24,2059.0,22.9,2.0,0.0,2.0,2.0,0.0,0.0,13.0,1.0,0.9,0.9,0.2,1.1,9.0,48.0,1.0,0.09,0.0,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Matches,portimonense
Shoya Nakajima,jp JPN,"MF,FW",26.0,22,20,1766.0,19.6,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,3.7,3.7,3.9,7.5,51.0,103.0,102.0,0.05,0.1,0.15,0.05,0.15,0.19,0.2,0.38,0.19,0.38,Matches,portimonense
Filipe Relvas,pt POR,DF,21.0,24,18,1607.0,17.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.2,1.2,0.4,1.6,6.0,37.0,27.0,0.0,0.06,0.06,0.0,0.06,0.07,0.02,0.09,0.07,0.09,Matches,portimonense
Lucas Fernandes,br BRA,MF,23.0,25,17,1424.0,15.8,1.0,4.0,5.0,1.0,0.0,0.0,6.0,1.0,0.8,0.8,2.1,2.9,28.0,93.0,20.0,0.06,0.25,0.32,0.06,0.32,0.05,0.13,0.18,0.05,0.18,Matches,portimonense
Fali Candé,gw GNB,DF,23.0,16,14,1310.0,14.6,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,2.0,2.4,23.0,46.0,51.0,0.07,0.14,0.21,0.07,0.21,0.03,0.14,0.17,0.03,0.17,Matches,portimonense
Aylton Boa Morte,pt POR,"FW,MF",27.0,17,14,1107.0,12.3,3.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,1.6,0.8,0.8,1.6,37.0,20.0,102.0,0.24,0.08,0.33,0.16,0.24,0.13,0.07,0.2,0.07,0.13,Matches,portimonense
Pedro Sá,pt POR,MF,27.0,20,13,1080.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.5,0.5,0.2,0.6,1.0,36.0,4.0,0.08,0.0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Matches,portimonense
Fabrício dos Santos Messias,br BRA,"FW,MF",31.0,26,12,1331.0,14.8,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.8,2.1,0.4,2.5,12.0,29.0,49.0,0.07,0.0,0.07,0.0,0.0,0.19,0.03,0.22,0.14,0.17,Matches,portimonense
Ewerton,br BRA,MF,28.0,15,11,729.0,8.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,0.2,1.4,9.0,34.0,8.0,0.12,0.0,0.12,0.12,0.12,0.14,0.03,0.17,0.14,0.17,Matches,portimonense
Anderson,br BRA,"FW,MF",23.0,22,9,1029.0,11.4,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.8,1.1,0.7,1.7,32.0,28.0,59.0,0.09,0.0,0.09,0.09,0.09,0.16,0.06,0.22,0.09,0.15,Matches,portimonense
Welinton Júnior,br BRA,FW,28.0,12,9,835.0,9.3,5.0,1.0,6.0,5.0,0.0,0.0,5.0,0.0,4.2,4.2,1.1,5.3,22.0,13.0,56.0,0.54,0.11,0.65,0.54,0.65,0.45,0.12,0.57,0.45,0.57,Matches,portimonense
Wilinton Aponzá,co COL,"FW,MF",21.0,21,9,744.0,8.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,0.9,2.6,9.0,4.0,45.0,0.12,0.12,0.24,0.12,0.24,0.2,0.11,0.31,0.2,0.31,Matches,portimonense
Henrique Jocú,pt POR,MF,19.0,11,7,594.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,4.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,portimonense
