Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Eric Oelschlägel,de GER,GK,25.0,4,3,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,utrecht
Pontus Almqvist,se SWE,"FW,MF",22.0,7,2,258.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,4.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.31,0.05,0.36,0.31,0.36,Matches,utrecht
Adrián Dalmau,es ESP,FW,27.0,9,2,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.1,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.29,0.11,0.4,0.29,0.4,Matches,utrecht
Tommy St. Jago,nl NED,DF,21.0,3,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,utrecht
Gyrano Kerk,nl NED,FW,25.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.1,1.3,9.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.61,0.04,0.65,0.61,0.65,Matches,utrecht
Benaissa Benamar,ma MAR,DF,24.0,2,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,utrecht
Rocco Robert Shein,ee EST,MF,18.0,1,1,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,utrecht
Naoki Maeda,jp JPN,MF,26.0,1,1,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,utrecht
Mohamed Mallahi,nl NED,"FW,DF",21.0,5,0,49.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,10.0,1.0,11.0,1.84,0.0,1.84,1.84,1.84,0.11,0.5,0.61,0.11,0.61,Matches,utrecht
Sylian Mokono,nl NED,DF,22.0,1,0,19.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,0.0,1.0,1.0,0.0,4.74,4.74,0.0,4.74,0.99,2.15,3.14,0.99,3.14,Matches,utrecht
Rick Meijssen,nl NED,DF,19.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,utrecht
Mees Rijks,nl NED,MF,18.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,utrecht
Eros Maddy,nl NED,FW,20.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,1.76,0.0,1.76,Matches,utrecht
Dave Van Den Berg,nl NED,MF,21.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,utrecht
Ruben Kluivert,nl NED,DF,20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,9.68,14.86,5.18,14.86,Matches,utrecht
Sep van der Heijden,nl NED,GK,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,utrecht
Kevin Gadellaa,nl NED,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,utrecht
Joey Houweling,nl NED,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,utrecht
Tibor Halilović,hr CRO,"MF,FW",26.0,31,31,2579.0,28.7,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,5.1,5.1,3.2,8.2,52.0,120.0,96.0,0.14,0.07,0.21,0.14,0.21,0.18,0.11,0.29,0.18,0.29,Matches,heerenveen
Sven van Beek,nl NED,DF,27.0,29,29,2565.0,28.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,1.8,0.4,2.3,10.0,74.0,8.0,0.04,0.0,0.04,0.04,0.04,0.07,0.02,0.09,0.06,0.08,Matches,heerenveen
Ibrahim Drešević,xk KVX,DF,24.0,27,22,2055.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.3,0.3,0.9,1.1,4.0,74.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,heerenveen
