Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Oliver Burke,sct SCO,FW,24.0,3,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,sheffield united
Daniel Jebbison,eng ENG,"FW,MF",18.0,8,1,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,1.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.33,0.03,0.36,0.33,0.36,Matches,sheffield united
Luke Freeman,eng ENG,"FW,MF",29.0,4,1,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,7.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches,sheffield united
Michael Verrips,nl NED,GK,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sheffield united
Charlie Goode,eng ENG,DF,25.0,2,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.4,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4,Matches,sheffield united
Femi Seriki,eng ENG,DF,19.0,1,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sheffield united
William Osula,dk DEN,FW,17.0,5,0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,sheffield united
Adlène Guedioura,dz ALG,MF,35.0,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.18,0.25,0.06,0.25,Matches,sheffield united
Oliver Arblaster,eng ENG,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,sheffield united
Adam Davies,wls WAL,GK,29.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,sheffield united
Jake Eastwood,eng ENG,GK,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,sheffield united
Nickseon Gomis,fr FRA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,sheffield united
Regan Slater,eng ENG,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,sheffield united
Joseph Starbuck,eng ENG,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,sheffield united
Kal Naismith,sct SCO,"DF,MF",29.0,42,42,3694.0,41.0,2.0,7.0,9.0,1.0,1.0,1.0,8.0,0.0,3.0,2.7,3.8,6.5,71.0,143.0,17.0,0.05,0.17,0.22,0.02,0.19,0.07,0.09,0.16,0.07,0.16,Matches,luton town
Amari'i Bell,jm JAM,"DF,FW",27.0,41,40,3580.0,39.8,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.9,1.9,2.0,3.9,78.0,111.0,79.0,0.03,0.05,0.08,0.03,0.08,0.05,0.05,0.1,0.05,0.1,Matches,luton town
Elijah Adebayo,eng ENG,FW,23.0,40,38,3370.0,37.4,16.0,4.0,20.0,13.0,3.0,5.0,6.0,0.0,16.1,12.6,4.9,17.5,69.0,51.0,254.0,0.43,0.11,0.53,0.35,0.45,0.43,0.13,0.56,0.34,0.47,Matches,luton town
Pelly Ruddock Mpanzu,cd COD,MF,28.0,34,31,2798.0,31.1,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.9,1.9,1.7,3.7,21.0,98.0,50.0,0.03,0.06,0.1,0.03,0.1,0.06,0.06,0.12,0.06,0.12,Matches,luton town
Allan Campbell,sct SCO,MF,23.0,33,31,2583.0,28.7,4.0,2.0,6.0,4.0,0.0,0.0,8.0,0.0,4.6,4.6,1.6,6.3,19.0,71.0,55.0,0.14,0.07,0.21,0.14,0.21,0.16,0.06,0.22,0.16,0.22,Matches,luton town
Harry Cornick,eng ENG,FW,26.0,38,30,2359.0,26.2,12.0,4.0,16.0,12.0,0.0,0.0,4.0,0.0,8.1,8.1,5.4,13.4,45.0,36.0,180.0,0.46,0.15,0.61,0.46,0.61,0.31,0.21,0.51,0.31,0.51,Matches,luton town
Tom Lockyer,wls WAL,DF,26.0,29,27,2425.0,26.9,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.2,2.2,0.4,2.6,19.0,74.0,14.0,0.04,0.04,0.07,0.04,0.07,0.08,0.01,0.1,0.08,0.1,Matches,luton town
