Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Dani Alves,br BRA,DF,38.0,12.2,2,1,0,27,6,0,75,11,19,0.0,1.0,0,98.0,9.0,8.0,52.9,Matches,barcelona
Pierre-Emerick Aubameyang,ga GAB,FW,32.0,12.0,0,0,0,7,7,7,5,2,2,0.0,0.0,0,17.0,7.0,13.0,35.0,Matches,barcelona
Nicolás González,es ESP,MF,19.0,12.4,6,0,0,37,19,1,7,6,20,0.0,0.0,0,66.0,5.0,13.0,27.8,Matches,barcelona
Pedri,es ESP,MF,18.0,9.8,0,0,0,1,17,0,18,5,12,0.0,0.0,0,63.0,4.0,3.0,57.1,Matches,barcelona
Óscar Mingueza,es ESP,DF,22.0,9.9,2,0,0,12,4,1,32,9,11,0.0,0.0,0,45.0,9.0,6.0,60.0,Matches,barcelona
Clément Lenglet,fr FRA,DF,26.0,9.2,4,0,0,19,4,0,1,13,11,0.0,1.0,0,60.0,16.0,25.0,39.0,Matches,barcelona
Luuk de Jong,nl NED,FW,30.0,7.3,1,0,0,8,12,6,1,0,7,0.0,0.0,0,23.0,33.0,18.0,64.7,Matches,barcelona
Abdessamad Ezzalzouli,ma MAR,FW,19.0,6.4,4,0,0,17,15,2,15,9,9,0.0,0.0,0,29.0,3.0,7.0,30.0,Matches,barcelona
Philippe Coutinho,br BRA,"MF,FW",29.0,5.6,1,0,0,7,13,2,19,4,3,1.0,0.0,0,23.0,2.0,4.0,33.3,Matches,barcelona
Sergi Roberto,es ESP,"MF,DF",29.0,4.4,1,0,0,1,4,1,9,4,1,0.0,0.0,0,25.0,2.0,2.0,50.0,Matches,barcelona
Adama Traoré,es ESP,FW,25.0,4.2,0,0,0,7,7,2,38,4,2,0.0,0.0,0,20.0,5.0,2.0,71.4,Matches,barcelona
Jutglà,es ESP,FW,22.0,3.3,1,0,0,4,6,1,6,1,1,0.0,0.0,0,9.0,6.0,4.0,60.0,Matches,barcelona
Ansu Fati,es ESP,FW,18.0,3.7,0,0,0,9,12,3,3,1,2,1.0,0.0,0,10.0,1.0,3.0,25.0,Matches,barcelona
Neto,br BRA,GK,32.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,,Matches,barcelona
Antoine Griezmann,fr FRA,FW,30.0,2.9,0,0,0,2,4,0,0,3,5,0.0,0.0,0,9.0,4.0,6.0,40.0,Matches,barcelona
Martin Braithwaite,dk DEN,FW,30.0,2.6,0,0,0,5,2,2,2,1,1,0.0,0.0,0,7.0,3.0,6.0,33.3,Matches,barcelona
Riqui Puig,es ESP,MF,21.0,5.4,0,0,0,9,10,0,1,3,3,0.0,0.0,0,42.0,1.0,3.0,25.0,Matches,barcelona
Yusuf Demir,at AUT,FW,18.0,2.1,0,0,0,0,4,0,2,2,1,0.0,0.0,0,9.0,0.0,0.0,,Matches,barcelona
Alejandro Balde,es ESP,"DF,FW",17.0,2.1,0,0,0,4,4,0,6,1,1,0.0,0.0,0,13.0,0.0,2.0,0.0,Matches,barcelona
Sergio Agüero,ar ARG,FW,33.0,1.7,0,0,0,1,2,1,3,0,1,0.0,0.0,0,3.0,3.0,2.0,60.0,Matches,barcelona
Ilias Akhomach,es ESP,FW,17.0,1.4,0,0,0,3,4,0,6,0,0,0.0,0.0,0,11.0,1.0,2.0,33.3,Matches,barcelona
Emerson,br BRA,DF,22.0,1.0,0,0,0,3,3,0,2,2,3,0.0,0.0,0,2.0,0.0,1.0,0.0,Matches,barcelona
Samuel Umtiti,fr FRA,DF,27.0,1.0,1,0,0,0,1,1,0,0,2,0.0,0.0,0,6.0,3.0,2.0,60.0,Matches,barcelona
Alvaro Sanz,es ESP,MF,20.0,0.3,0,0,0,0,1,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,barcelona
Estanis,es ESP,FW,17.0,0.1,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0.0,0.0,2.0,0.0,Matches,barcelona
Koke,es ESP,MF,29.0,27.9,6,0,0,29,27,0,33,24,30,0.0,0.0,0,169.0,12.0,26.0,31.6,Matches,atletico madrid
Marcos Llorente,es ESP,"MF,DF",26.0,27.2,5,0,0,30,16,7,71,27,23,0.0,1.0,0,174.0,18.0,23.0,43.9,Matches,atletico madrid
Yannick Carrasco,be BEL,"FW,MF",27.0,28.7,5,0,0,30,39,13,133,19,19,0.0,0.0,0,159.0,8.0,12.0,40.0,Matches,atletico madrid
Stefan Savić,me MNE,DF,30.0,27.1,12,0,0,30,22,3,1,37,20,0.0,0.0,1,119.0,71.0,52.0,57.7,Matches,atletico madrid
Rodrigo De Paul,ar ARG,MF,27.0,23.9,7,0,0,45,59,1,92,21,30,0.0,0.0,0,159.0,17.0,21.0,44.7,Matches,atletico madrid
José María Giménez,uy URU,DF,26.0,22.7,7,0,0,11,21,2,1,25,12,0.0,0.0,0,99.0,41.0,24.0,63.1,Matches,atletico madrid
Geoffrey Kondogbia,cf CTA,"MF,DF",28.0,20.9,13,2,2,40,37,0,1,44,44,0.0,0.0,0,188.0,38.0,21.0,64.4,Matches,atletico madrid
Mario Hermoso,es ESP,DF,26.0,20.7,6,1,0,26,11,1,24,29,15,0.0,0.0,1,126.0,49.0,22.0,69.0,Matches,atletico madrid
Ángel Correa,ar ARG,"FW,MF",26.0,20.6,3,1,0,24,27,10,34,10,8,0.0,0.0,0,78.0,5.0,16.0,23.8,Matches,atletico madrid
Antoine Griezmann,fr FRA,"FW,MF",30.0,18.8,3,0,0,18,27,10,34,7,14,0.0,0.0,0,72.0,31.0,53.0,36.9,Matches,atletico madrid
Luis Suárez,uy URU,FW,34.0,20.4,7,0,0,20,26,12,6,1,5,2.0,1.0,0,42.0,19.0,24.0,44.2,Matches,atletico madrid
Thomas Lemar,fr FRA,MF,25.0,16.0,2,0,0,11,21,2,90,8,14,0.0,2.0,0,71.0,12.0,10.0,54.5,Matches,atletico madrid
Felipe,br BRA,DF,32.0,16.7,5,1,0,21,14,2,0,28,15,0.0,0.0,0,100.0,45.0,29.0,60.8,Matches,atletico madrid
Reinildo Mandava,mz MOZ,DF,27.0,14.4,5,0,0,26,20,0,16,21,25,0.0,1.0,0,88.0,22.0,26.0,45.8,Matches,atletico madrid
João Félix,pt POR,"FW,MF",21.0,14.0,3,1,1,15,57,9,18,7,2,0.0,0.0,0,31.0,19.0,18.0,51.4,Matches,atletico madrid
Renan Lodi,br BRA,DF,23.0,13.1,4,0,0,21,21,3,48,13,18,0.0,1.0,0,64.0,28.0,21.0,57.1,Matches,atletico madrid
Kieran Trippier,eng ENG,"DF,FW",30.0,10.8,1,0,0,14,6,4,33,10,12,0.0,0.0,0,54.0,28.0,13.0,68.3,Matches,atletico madrid
Šime Vrsaljko,hr CRO,DF,29.0,10.2,4,0,0,13,5,2,44,12,17,0.0,0.0,0,33.0,33.0,24.0,57.9,Matches,atletico madrid
Matheus Cunha,br BRA,FW,22.0,11.8,3,0,0,22,26,1,7,6,12,2.0,1.0,0,44.0,21.0,74.0,22.1,Matches,atletico madrid
Héctor Herrera,mx MEX,MF,31.0,9.5,4,0,0,19,8,1,10,12,8,0.0,1.0,0,73.0,23.0,23.0,50.0,Matches,atletico madrid
