Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
João Cancelo,pt POR,DF,27.0,35.9,7,0,0,34,26,2,124,59,54,0.0,0.0,0,217.0,57.0,51.0,52.8,Matches,manchester city
Rodri,es ESP,MF,25.0,32.0,5,0,0,43,20,0,9,28,43,0.0,0.0,0,292.0,85.0,33.0,72.0,Matches,manchester city
Bernardo Silva,pt POR,"MF,FW",26.0,31.7,6,0,0,30,33,9,58,20,29,1.0,0.0,0,156.0,7.0,15.0,31.8,Matches,manchester city
Aymeric Laporte,es ESP,DF,27.0,31.4,5,1,0,14,10,2,5,20,15,1.0,0.0,0,182.0,52.0,32.0,61.9,Matches,manchester city
Rúben Dias,pt POR,DF,24.0,26.7,5,0,0,27,9,2,3,23,19,0.0,0.0,0,108.0,50.0,37.0,57.5,Matches,manchester city
Kevin De Bruyne,be BEL,MF,30.0,24.5,2,0,0,21,27,4,180,6,16,0.0,0.0,0,114.0,11.0,18.0,37.9,Matches,manchester city
Phil Foden,eng ENG,FW,21.0,23.6,1,0,0,15,23,14,132,11,8,0.0,0.0,0,83.0,5.0,27.0,15.6,Matches,manchester city
Raheem Sterling,eng ENG,FW,26.0,23.6,1,0,0,19,37,10,50,12,10,2.0,0.0,0,86.0,4.0,18.0,18.2,Matches,manchester city
Jack Grealish,eng ENG,FW,25.0,21.3,3,0,0,17,55,5,32,8,17,0.0,0.0,0,63.0,14.0,28.0,33.3,Matches,manchester city
Gabriel Jesus,br BRA,FW,24.0,20.9,1,0,0,26,26,10,24,15,12,2.0,0.0,0,76.0,21.0,36.0,36.8,Matches,manchester city
İlkay Gündoğan,de GER,MF,30.0,20.6,1,0,0,13,10,2,67,15,9,0.0,0.0,0,110.0,11.0,12.0,47.8,Matches,manchester city
Kyle Walker,eng ENG,DF,31.0,19.5,1,0,0,7,12,1,35,14,6,0.0,0.0,0,104.0,19.0,16.0,54.3,Matches,manchester city
Riyad Mahrez,dz ALG,FW,30.0,16.6,0,0,0,10,15,3,97,6,3,0.0,0.0,0,70.0,8.0,14.0,36.4,Matches,manchester city
John Stones,eng ENG,DF,27.0,12.4,0,0,0,3,6,0,3,11,3,0.0,0.0,0,52.0,47.0,10.0,82.5,Matches,manchester city
Oleksandr Zinchenko,ua UKR,DF,24.0,11.6,0,0,0,11,2,1,31,14,14,0.0,0.0,0,65.0,15.0,16.0,48.4,Matches,manchester city
Fernandinho,br BRA,"MF,DF",36.0,10.7,1,0,0,14,10,0,2,8,10,0.0,0.0,0,85.0,22.0,15.0,59.5,Matches,manchester city
Nathan Aké,nl NED,DF,26.0,10.3,0,0,0,9,2,0,1,8,9,0.0,0.0,0,43.0,37.0,12.0,75.5,Matches,manchester city
Ferrán Torres,es ESP,FW,21.0,3.4,0,0,0,1,1,1,4,0,2,0.0,0.0,0,6.0,4.0,1.0,80.0,Matches,manchester city
Cole Palmer,eng ENG,"FW,MF",19.0,1.4,0,0,0,1,1,0,3,1,1,0.0,0.0,0,3.0,2.0,0.0,100.0,Matches,manchester city
Zack Steffen,us USA,GK,26.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,manchester city
Benjamin Mendy,fr FRA,DF,27.0,0.9,0,0,0,2,0,0,9,0,2,0.0,0.0,0,5.0,0.0,3.0,0.0,Matches,manchester city
James Mcatee,eng ENG,"MF,FW",18.0,0.2,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,Matches,manchester city
Liam Delap,eng ENG,FW,18.0,0.1,0,0,0,1,1,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,,Matches,manchester city
Kayky Chagas,br BRA,FW,18.0,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,manchester city
Virgil van Dijk,nl NED,DF,30.0,34.0,3,0,0,9,8,0,0,31,10,0.0,0.0,0,204.0,117.0,34.0,77.5,Matches,liverpool
Trent Alexander-Arnold,eng ENG,DF,22.0,31.7,2,0,0,12,7,11,273,43,23,0.0,0.0,0,235.0,15.0,13.0,53.6,Matches,liverpool
Sadio Mané,sn SEN,FW,29.0,31.3,5,0,0,50,50,19,50,8,20,1.0,0.0,0,109.0,30.0,50.0,37.5,Matches,liverpool
Joël Matip,cm CMR,DF,29.0,31.0,2,0,0,13,11,0,1,44,34,0.0,0.0,0,185.0,108.0,50.0,68.4,Matches,liverpool
Mohamed Salah,eg EGY,FW,29.0,30.7,1,0,0,12,23,12,41,6,8,2.0,0.0,0,86.0,7.0,33.0,17.5,Matches,liverpool
Jordan Henderson,eng ENG,MF,31.0,28.9,3,0,0,23,7,3,56,23,20,0.0,0.0,0,228.0,18.0,13.0,58.1,Matches,liverpool
Andrew Robertson,sct SCO,DF,27.0,28.2,5,1,0,19,9,4,195,23,21,0.0,0.0,0,180.0,26.0,14.0,65.0,Matches,liverpool
Diogo Jota,pt POR,FW,24.0,26.3,3,0,0,41,40,5,21,6,18,2.0,0.0,0,100.0,37.0,83.0,30.8,Matches,liverpool
Fabinho,br BRA,MF,27.0,25.7,7,0,0,40,28,0,6,39,25,0.0,0.0,0,193.0,43.0,24.0,64.2,Matches,liverpool
Thiago Alcántara,es ESP,MF,30.0,17.0,2,0,0,19,13,0,4,26,29,0.0,0.0,0,126.0,31.0,12.0,72.1,Matches,liverpool
Naby Keïta,gn GUI,MF,26.0,13.0,3,0,0,21,9,0,8,14,23,0.0,0.0,0,68.0,6.0,15.0,28.6,Matches,liverpool
Ibrahima Konaté,fr FRA,DF,22.0,11.0,2,0,0,10,3,0,0,16,10,0.0,0.0,0,64.0,34.0,19.0,64.2,Matches,liverpool
Luis Díaz,co COL,FW,24.0,10.6,0,0,0,14,14,3,14,4,7,0.0,0.0,0,54.0,15.0,16.0,48.4,Matches,liverpool
Roberto Firmino,br BRA,FW,29.0,11.0,3,0,0,7,6,3,8,4,14,0.0,0.0,0,53.0,14.0,27.0,34.1,Matches,liverpool
Curtis Jones,eng ENG,MF,20.0,9.5,0,0,0,11,19,1,6,6,9,0.0,0.0,0,54.0,7.0,7.0,50.0,Matches,liverpool
Kostas Tsimikas,gr GRE,DF,25.0,9.7,3,0,0,20,6,0,116,10,12,0.0,0.0,0,62.0,12.0,11.0,52.2,Matches,liverpool
James Milner,eng ENG,"MF,DF",35.0,9.5,2,0,0,17,14,0,43,17,16,0.0,0.0,0,72.0,13.0,10.0,56.5,Matches,liverpool
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",27.0,8.7,0,0,0,10,3,2,26,6,11,0.0,0.0,0,33.0,5.0,12.0,29.4,Matches,liverpool
Harvey Elliott,eng ENG,MF,18.0,3.8,0,0,0,2,6,0,10,4,0,0.0,0.0,0,31.0,2.0,2.0,50.0,Matches,liverpool
Joe Gomez,eng ENG,DF,24.0,3.7,2,0,0,5,2,0,19,5,6,0.0,0.0,0,19.0,10.0,6.0,62.5,Matches,liverpool
Caoimhín Kelleher,ie IRL,GK,22.0,2.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,4.0,1.0,0.0,100.0,Matches,liverpool
Takumi Minamino,jp JPN,"FW,MF",26.0,2.1,1,0,0,4,4,0,0,1,2,0.0,0.0,0,13.0,1.0,5.0,16.7,Matches,liverpool
Tyler Morton,eng ENG,MF,18.0,0.7,1,0,0,1,0,0,0,3,0,0.0,0.0,0,5.0,2.0,3.0,40.0,Matches,liverpool
Divock Origi,be BEL,FW,26.0,1.5,0,0,0,2,1,0,0,1,0,0.0,0.0,0,7.0,2.0,4.0,33.3,Matches,liverpool
Kaide Gordon,eng ENG,FW,16.0,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Matches,liverpool
Antonio Rüdiger,de GER,DF,28.0,33.7,9,0,0,35,12,0,15,28,28,2.0,0.0,0,183.0,56.0,20.0,73.7,Matches,chelsea
Thiago Silva,br BRA,DF,36.0,29.4,2,0,0,12,12,1,2,44,21,1.0,0.0,0,214.0,56.0,31.0,64.4,Matches,chelsea
Mason Mount,eng ENG,MF,22.0,26.3,4,0,0,30,23,5,153,13,16,0.0,0.0,0,107.0,6.0,31.0,16.2,Matches,chelsea
Jorginho,it ITA,MF,29.0,25.3,5,0,0,30,38,0,3,36,33,0.0,0.0,0,208.0,13.0,26.0,33.3,Matches,chelsea
Marcos Alonso,es ESP,DF,30.0,24.1,8,0,0,25,28,3,149,43,29,0.0,1.0,0,139.0,40.0,28.0,58.8,Matches,chelsea
César Azpilicueta,es ESP,DF,31.0,23.0,3,0,0,25,5,2,47,23,28,0.0,1.0,0,110.0,46.0,29.0,61.3,Matches,chelsea
Reece James,eng ENG,DF,21.0,20.7,4,1,0,20,31,4,108,17,25,0.0,1.0,1,99.0,17.0,21.0,44.7,Matches,chelsea
Kai Havertz,de GER,"FW,MF",22.0,20.1,3,0,0,40,25,12,8,4,8,1.0,0.0,0,62.0,38.0,52.0,42.2,Matches,chelsea
N'Golo Kanté,fr FRA,MF,30.0,19.7,2,0,0,22,11,0,11,31,31,0.0,0.0,0,153.0,14.0,14.0,50.0,Matches,chelsea
Andreas Christensen,dk DEN,DF,25.0,16.6,2,0,0,11,7,0,1,29,8,0.0,0.0,0,110.0,48.0,38.0,55.8,Matches,chelsea
Trevoh Chalobah,eng ENG,DF,22.0,16.1,2,0,0,19,14,0,4,19,27,0.0,1.0,0,74.0,32.0,28.0,53.3,Matches,chelsea
Romelu Lukaku,be BEL,FW,28.0,17.7,1,0,0,8,12,14,7,0,1,3.0,0.0,0,33.0,51.0,47.0,52.0,Matches,chelsea
Mateo Kovačić,hr CRO,MF,27.0,17.3,4,0,0,24,20,0,6,7,31,0.0,0.0,0,111.0,5.0,5.0,50.0,Matches,chelsea
Timo Werner,de GER,"FW,MF",25.0,14.3,1,0,0,11,12,11,23,2,4,0.0,0.0,0,37.0,6.0,16.0,27.3,Matches,chelsea
Hakim Ziyech,ma MAR,"MF,FW",28.0,14.7,3,0,0,24,29,5,101,10,10,0.0,0.0,0,87.0,12.0,14.0,46.2,Matches,chelsea
Ruben Loftus-Cheek,eng ENG,"MF,DF",25.0,15.5,1,0,0,18,41,2,7,11,10,0.0,0.0,0,109.0,36.0,18.0,66.7,Matches,chelsea
Christian Pulisic,us USA,"MF,FW",22.0,14.3,2,0,0,15,31,4,14,5,7,0.0,0.0,0,53.0,12.0,28.0,30.0,Matches,chelsea
Callum Hudson-Odoi,eng ENG,"MF,FW",20.0,10.7,1,0,0,10,17,4,32,2,10,1.0,0.0,0,39.0,4.0,8.0,33.3,Matches,chelsea
Malang Sarr,fr FRA,DF,22.0,6.1,2,0,0,8,1,0,4,11,7,0.0,0.0,0,36.0,13.0,7.0,65.0,Matches,chelsea
Ben Chilwell,eng ENG,DF,24.0,6.0,0,0,0,10,15,2,32,4,3,0.0,1.0,0,32.0,7.0,10.0,41.2,Matches,chelsea
Saúl Ñíguez,es ESP,"DF,MF",26.0,5.3,1,0,0,9,0,0,10,7,9,0.0,0.0,0,18.0,8.0,11.0,42.1,Matches,chelsea
Kepa Arrizabalaga,es ESP,GK,26.0,4.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,Matches,chelsea
Ross Barkley,eng ENG,"MF,FW",27.0,2.0,0,0,0,2,4,0,7,1,0,0.0,0.0,0,17.0,6.0,2.0,75.0,Matches,chelsea
Kenedy,br BRA,DF,25.0,0.6,0,0,0,0,0,0,1,0,2,0.0,0.0,0,8.0,0.0,1.0,0.0,Matches,chelsea
Harry Kane,eng ENG,FW,28.0,35.9,5,0,0,42,54,16,42,3,5,0.0,0.0,0,92.0,75.0,81.0,48.1,Matches,tottenham hotspur
Pierre Højbjerg,dk DEN,MF,25.0,35.5,3,0,0,28,39,0,18,48,45,0.0,0.0,0,281.0,23.0,19.0,54.8,Matches,tottenham hotspur
