Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Gerson,br BRA,"MF,FW",24.0,28.3,3,0,0,45,67,2,22,16,17,2.0,0.0,0,109.0,23.0,19.0,54.8,Matches,marseille
Dimitri Payet,fr FRA,"FW,MF",34.0,28.8,3,0,0,9,43,3,236,9,8,1.0,0.0,0,75.0,3.0,7.0,30.0,Matches,marseille
Cengiz Ünder,tr TUR,"FW,MF",24.0,24.4,2,1,1,11,33,12,115,14,13,1.0,0.0,0,72.0,9.0,8.0,52.9,Matches,marseille
Valentin Rongier,fr FRA,"MF,DF",26.0,24.4,3,0,0,34,28,0,7,33,51,0.0,1.0,0,152.0,19.0,27.0,41.3,Matches,marseille
Duje Ćaleta-Car,hr CRO,DF,24.0,22.9,6,0,0,11,6,1,1,24,8,1.0,0.0,0,99.0,35.0,11.0,76.1,Matches,marseille
Pol Lirola,es ESP,"DF,FW",23.0,19.7,1,0,0,11,13,10,71,13,16,0.0,0.0,0,100.0,19.0,8.0,70.4,Matches,marseille
Pape Gueye,sn SEN,MF,22.0,17.0,7,0,0,29,40,4,3,24,19,0.0,1.0,0,109.0,21.0,13.0,61.8,Matches,marseille
Arkadiusz Milik,pl POL,FW,27.0,15.7,1,0,0,19,8,8,5,3,2,0.0,0.0,0,22.0,21.0,27.0,43.8,Matches,marseille
Amine Harit,ma MAR,"FW,MF",24.0,12.9,1,0,0,17,39,3,28,4,11,0.0,0.0,0,51.0,6.0,14.0,30.0,Matches,marseille
Bamba Dieng,sn SEN,FW,21.0,10.8,0,1,0,14,13,4,3,5,11,2.0,0.0,0,41.0,13.0,20.0,39.4,Matches,marseille
Leonardo Balerdi,ar ARG,DF,22.0,10.6,4,1,0,10,5,0,0,19,6,0.0,0.0,0,78.0,17.0,13.0,56.7,Matches,marseille
Steve Mandanda,fr FRA,GK,36.0,9.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,20.0,1.0,0.0,100.0,Matches,marseille
Konrad De La Fuente,us USA,"FW,MF",20.0,8.7,1,0,0,2,6,1,19,2,7,0.0,0.0,0,30.0,4.0,6.0,40.0,Matches,marseille
Luis Henrique,br BRA,"FW,MF",19.0,7.8,0,0,0,6,4,5,12,5,3,0.0,0.0,0,34.0,0.0,3.0,0.0,Matches,marseille
Sead Kolašinac,ba BIH,DF,28.0,4.9,0,0,0,7,3,0,7,0,6,0.0,0.0,0,22.0,5.0,0.0,100.0,Matches,marseille
Álvaro González,es ESP,DF,31.0,5.0,1,0,0,7,7,0,0,1,1,0.0,0.0,0,19.0,4.0,11.0,26.7,Matches,marseille
Cédric Bakambu,cd COD,FW,30.0,4.0,1,0,0,6,2,5,3,0,0,0.0,0.0,0,5.0,7.0,11.0,38.9,Matches,marseille
Jordan Amavi,fr FRA,"DF,FW",27.0,1.4,0,0,0,3,1,0,2,1,5,0.0,0.0,0,3.0,3.0,5.0,37.5,Matches,marseille
Darío Benedetto,ar ARG,"FW,MF",31.0,0.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,2.0,0.0,100.0,Matches,marseille
Nemanja Radonjić,rs SRB,FW,25.0,0.2,0,0,0,0,0,1,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,marseille
Oussama Targhalline,ma MAR,FW,19.0,0.1,1,0,0,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,marseille
Aurélien Tchouaméni,fr FRA,MF,21.0,32.5,11,1,1,51,59,2,17,101,45,0.0,1.0,0,262.0,77.0,31.0,71.3,Matches,monaco
Caio Henrique Oliveira Silva,br BRA,DF,24.0,29.6,5,0,0,19,22,2,127,27,30,1.0,0.0,0,205.0,13.0,27.0,32.5,Matches,monaco
Axel Disasi,fr FRA,DF,23.0,30.2,5,0,0,43,13,3,1,26,27,0.0,1.0,0,183.0,71.0,43.0,62.3,Matches,monaco
Wissam Ben Yedder,fr FRA,FW,30.0,28.1,3,0,0,19,22,24,14,0,8,1.0,0.0,0,74.0,21.0,46.0,31.3,Matches,monaco
Kevin Volland,de GER,"MF,FW",29.0,27.1,10,0,0,53,28,17,21,3,10,2.0,0.0,1,89.0,29.0,61.0,32.2,Matches,monaco
Sofiane Diop,fr FRA,"MF,FW",21.0,21.6,6,0,0,28,41,4,95,23,20,1.0,1.0,0,134.0,12.0,28.0,30.0,Matches,monaco
Gelson Martins,pt POR,"MF,FW",26.0,21.2,4,0,0,22,33,15,35,17,27,0.0,0.0,0,112.0,22.0,23.0,48.9,Matches,monaco
Youssouf Fofana,fr FRA,MF,22.0,24.3,4,0,0,33,25,0,6,32,43,0.0,1.0,0,175.0,14.0,10.0,58.3,Matches,monaco
Ruben Aguilar,fr FRA,DF,28.0,23.8,4,0,0,32,29,1,64,44,53,0.0,0.0,1,157.0,33.0,40.0,45.2,Matches,monaco
Benoît Badiashile,fr FRA,DF,20.0,20.4,4,0,0,24,9,2,1,28,19,0.0,1.0,0,150.0,57.0,17.0,77.0,Matches,monaco
Guillermo Maripán,cl CHI,DF,27.0,20.4,5,0,0,20,10,1,1,25,24,0.0,0.0,0,118.0,45.0,36.0,55.6,Matches,monaco
Jean Lucas,br BRA,MF,23.0,16.1,3,1,1,27,25,2,64,13,25,0.0,0.0,0,131.0,14.0,25.0,35.9,Matches,monaco
Aleksandr Golovin,ru RUS,"FW,MF",25.0,16.7,4,1,0,21,21,2,111,12,22,0.0,0.0,0,96.0,6.0,13.0,31.6,Matches,monaco
Vanderson,br BRA,"FW,DF",20.0,12.4,3,0,0,19,11,3,28,13,19,0.0,0.0,0,88.0,14.0,16.0,46.7,Matches,monaco
Djibril Sidibé,fr FRA,DF,29.0,10.5,6,0,0,17,9,0,23,16,13,0.0,1.0,0,52.0,14.0,4.0,77.8,Matches,monaco
Ismail Jakobs,sn SEN,"DF,FW",21.0,13.4,1,0,0,15,9,1,82,17,16,0.0,1.0,0,76.0,38.0,15.0,71.7,Matches,monaco
Eliot Matazo,be BEL,MF,19.0,8.8,1,0,0,16,8,0,1,13,7,0.0,0.0,0,45.0,8.0,13.0,38.1,Matches,monaco
Myron Boadu,nl NED,FW,20.0,10.7,0,0,0,17,11,12,0,2,7,0.0,0.0,0,20.0,15.0,29.0,34.1,Matches,monaco
Strahinja Pavlović,rs SRB,DF,20.0,5.0,4,1,1,11,7,0,5,9,16,0.0,2.0,0,34.0,18.0,10.0,64.3,Matches,monaco
Krépin Diatta,sn SEN,"MF,DF",22.0,3.2,0,0,0,3,8,0,3,1,2,0.0,0.0,0,13.0,12.0,4.0,75.0,Matches,monaco
Chrislain Matsima,fr FRA,DF,19.0,1.5,0,0,0,0,2,0,0,1,2,0.0,0.0,0,8.0,4.0,1.0,80.0,Matches,monaco
Maghnes Akliouche,fr FRA,"MF,FW",19.0,0.6,1,0,0,4,1,1,1,0,0,0.0,0.0,0,2.0,1.0,2.0,33.3,Matches,monaco
Wilson Isidor,fr FRA,"FW,MF",20.0,0.6,0,0,0,1,1,2,0,0,0,0.0,0.0,0,1.0,4.0,4.0,50.0,Matches,monaco
Cesc Fàbregas,es ESP,MF,34.0,0.4,0,0,0,1,2,0,5,1,0,0.0,0.0,0,4.0,0.0,0.0,,Matches,monaco
Félix Lemaréchal,ci CIV,MF,17.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,monaco
Martin Terrier,fr FRA,"FW,MF",24.0,30.9,1,0,0,28,41,6,28,18,33,1.0,0.0,0,110.0,41.0,50.0,45.1,Matches,rennes
Hamari Traoré,ml MLI,DF,29.0,32.1,4,0,0,46,24,9,81,37,36,0.0,1.0,1,177.0,37.0,38.0,49.3,Matches,rennes
Gaëtan Laborde,fr FRA,FW,27.0,30.3,1,0,0,31,20,21,33,8,7,0.0,0.0,0,79.0,87.0,119.0,42.2,Matches,rennes
Warmed Omari,fr FRA,DF,21.0,31.1,6,0,0,24,17,0,2,31,17,0.0,0.0,0,157.0,46.0,23.0,66.7,Matches,rennes
Nayef Aguerd,ma MAR,DF,25.0,30.4,3,1,0,20,16,1,1,24,18,1.0,2.0,0,154.0,95.0,51.0,65.1,Matches,rennes
