Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Marin Pongračić,hr CRO,DF,23.0,9.2,3,0,0,12,0,0,0,17,10,0,0,0,65,10,11,47.6,Matches,dortmund
Gio Reyna,us USA,MF,18.0,4.9,0,0,0,7,11,1,20,1,4,0,0,0,27,5,7,41.7,Matches,dortmund
Felix Passlack,de GER,DF,23.0,5.2,0,0,0,5,8,1,13,4,9,0,0,1,27,1,3,25.0,Matches,dortmund
Marwin Hitz,ch SUI,GK,33.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0.0,Matches,dortmund
Youssoufa Moukoko,de GER,"FW,MF",16.0,2.5,1,0,0,5,5,5,0,3,0,0,0,0,6,0,3,0.0,Matches,dortmund
Reinier,br BRA,"FW,MF",19.0,1.8,0,0,0,2,2,0,0,0,3,0,0,0,14,1,3,25.0,Matches,dortmund
Jamie Bynoe-Gittens,eng ENG,FW,16.0,1.5,0,0,0,2,6,0,0,1,2,0,0,0,5,2,2,50.0,Matches,dortmund
Tom Rothe,de GER,DF,16.0,1.0,1,0,0,3,1,3,5,2,3,0,0,0,5,0,0,,Matches,dortmund
Roman Bürki,ch SUI,GK,30.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches,dortmund
Ansgar Knauff,de GER,"FW,MF",19.0,1.3,0,0,0,4,1,1,0,0,1,0,0,0,3,3,2,60.0,Matches,dortmund
Steffen Tigges,de GER,"FW,MF",23.0,1.2,0,0,0,1,1,1,1,0,3,0,0,0,2,3,9,25.0,Matches,dortmund
Thomas Delaney,dk DEN,MF,29.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,dortmund
Antonios Papadopoulos,de GER,"DF,MF",21.0,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,dortmund
Lennard Maloney,us USA,DF,21.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches,dortmund
Lion Semić,de GER,DF,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,dortmund
Lukáš Hrádecký,fi FIN,GK,31.0,32.0,1,0,0,0,2,0,0,0,1,0,0,0,55,8,0,100.0,Matches,bayer leverkusen
Moussa Diaby,fr FRA,"FW,MF",22.0,30.7,10,1,1,38,25,17,82,8,11,0,0,0,119,6,20,23.1,Matches,bayer leverkusen
Patrik Schick,cz CZE,FW,25.0,23.1,0,0,0,13,22,6,3,3,2,0,0,0,34,55,73,43.0,Matches,bayer leverkusen
Jeremie Frimpong,nl NED,DF,20.0,22.8,6,0,0,17,45,1,58,17,18,0,1,1,120,19,18,51.4,Matches,bayer leverkusen
Kerem Demirbay,de GER,MF,28.0,22.8,10,0,0,34,29,3,152,33,31,0,0,0,158,11,19,36.7,Matches,bayer leverkusen
Florian Wirtz,de GER,"MF,FW",18.0,20.6,2,0,0,15,25,10,63,13,10,1,0,0,106,7,23,23.3,Matches,bayer leverkusen
Robert Andrich,de GER,MF,26.0,20.2,5,1,0,40,15,2,6,31,17,0,0,0,126,30,24,55.6,Matches,bayer leverkusen
Odilon Kossonou,ci CIV,DF,20.0,19.9,3,0,0,15,7,0,5,26,17,0,1,0,140,30,26,53.6,Matches,bayer leverkusen
Piero Hincapié,ec ECU,DF,19.0,19.5,5,0,0,23,15,3,20,33,23,0,0,0,130,56,40,58.3,Matches,bayer leverkusen
Mitchel Bakker,nl NED,DF,21.0,20.2,6,0,0,15,19,0,37,23,22,0,1,0,147,13,13,50.0,Matches,bayer leverkusen
Edmond Tapsoba,bf BFA,DF,22.0,20.2,1,0,0,19,6,1,0,29,17,0,1,0,171,42,16,72.4,Matches,bayer leverkusen
Charles Aránguiz,cl CHI,MF,32.0,17.5,2,0,0,26,13,0,9,33,25,0,0,0,129,7,16,30.4,Matches,bayer leverkusen
Paulinho,br BRA,"FW,MF",21.0,13.5,1,0,0,10,17,3,20,6,13,1,0,0,58,8,12,40.0,Matches,bayer leverkusen
Amine Adli,fr FRA,"FW,MF",21.0,14.0,3,0,0,27,28,8,21,11,14,0,0,0,62,12,29,29.3,Matches,bayer leverkusen
Exequiel Palacios,ar ARG,MF,22.0,12.2,2,0,0,11,17,0,8,28,19,0,0,0,131,7,7,50.0,Matches,bayer leverkusen
Karim Bellarabi,de GER,"FW,MF",31.0,7.6,2,0,0,20,7,1,25,9,4,2,0,0,38,0,1,0.0,Matches,bayer leverkusen
Lucas Alario,ar ARG,FW,28.0,7.3,2,0,0,8,8,7,1,1,5,1,0,0,13,19,23,45.2,Matches,bayer leverkusen
Sardar Azmoun,ir IRN,"FW,MF",26.0,4.0,0,0,0,8,4,0,2,0,1,0,0,0,9,7,10,41.2,Matches,bayer leverkusen
Nadiem Amiri,de GER,"MF,FW",24.0,4.1,0,0,0,2,11,0,8,5,4,0,0,0,30,1,3,25.0,Matches,bayer leverkusen
Daley Sinkgraven,nl NED,DF,26.0,3.9,0,0,0,0,3,0,7,3,2,0,0,0,22,3,7,30.0,Matches,bayer leverkusen
Lennart Grill,de GER,GK,22.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,bayer leverkusen
Andrey Lunyov,ru RUS,GK,29.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,bayer leverkusen
Julian Baumgartlinger,at AUT,"MF,FW",33.0,1.0,1,0,0,2,0,0,1,2,1,0,0,0,8,1,1,50.0,Matches,bayer leverkusen
Timothy Fosu-Mensah,nl NED,DF,23.0,1.6,0,0,0,1,0,0,4,2,3,0,0,0,14,2,3,40.0,Matches,bayer leverkusen
Panagiotis Retsos,gr GRE,"DF,FW",22.0,0.4,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,100.0,Matches,bayer leverkusen
Zidan Sertdemir,dk DEN,"MF,FW",16.0,0.2,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,,Matches,bayer leverkusen
Iker Bravo,es ESP,FW,16.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,bayer leverkusen
Christopher Nkunku,fr FRA,"FW,MF",23.0,30.3,2,0,0,31,61,13,64,15,10,3,0,0,103,26,28,48.1,Matches,rb leipzig
Willi Orban,hu HUN,DF,28.0,29.4,1,0,0,12,29,3,3,44,22,0,0,0,163,100,63,61.3,Matches,rb leipzig
Joško Gvardiol,hr CRO,DF,19.0,26.8,7,0,0,41,34,1,8,51,31,0,0,1,230,53,35,60.2,Matches,rb leipzig
Angeliño,es ESP,DF,24.0,25.5,3,0,0,15,35,4,187,29,21,0,0,0,155,11,21,34.4,Matches,rb leipzig
