Player,Pos,Age,MP,Min,90s,Gls,Ast,CrdY,CrdR,xG,Gls/90,Ast/90,xG/90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,Recov,Won%,club
Jürgen Locadia,7,27.0,11,444.0,4.9,2.0,1.0,0.0,0.0,1.7,0.41,0.2,0.35,0.0,10.0,9.0,4.0,0.0,1.0,2.0,14.0,36.8,bochum
Michael Esser,1,33.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,bochum
Danny Blum,4,30.0,13,346.0,3.8,2.0,0.0,0.0,0.0,0.8,0.52,0.0,0.21,0.0,3.0,3.0,0.0,31.0,2.0,1.0,23.0,56.0,bochum
Reece Oxford,2,22.0,30,2693.0,29.9,2.0,1.0,9.0,0.0,2.2,0.07,0.03,0.07,0.0,28.0,21.0,1.0,0.0,72.0,14.0,167.0,62.8,augsburg
Jeffrey Gouweleeuw,2,30.0,29,2576.0,28.6,2.0,0.0,9.0,0.0,2.0,0.07,0.0,0.07,0.0,32.0,8.0,0.0,6.0,49.0,27.0,188.0,47.8,augsburg
Niklas Dorsch,3,23.0,30,2324.0,25.8,1.0,0.0,8.0,0.0,0.2,0.04,0.0,0.01,0.0,53.0,48.0,0.0,20.0,35.0,47.0,240.0,48.5,augsburg
Robert Gumny,2,23.0,28,2272.0,25.2,0.0,0.0,3.0,0.0,0.2,0.0,0.0,0.01,0.0,27.0,27.0,0.0,28.0,28.0,29.0,130.0,60.0,augsburg
Iago,2,24.0,28,2174.0,24.2,2.0,5.0,3.0,0.0,0.9,0.08,0.21,0.04,0.0,18.0,16.0,4.0,92.0,27.0,29.0,135.0,50.0,augsburg
Ruben Vargas,7,22.0,29,1984.0,22.0,1.0,3.0,4.0,0.0,3.6,0.05,0.14,0.16,0.0,33.0,27.0,12.0,42.0,16.0,21.0,141.0,24.4,augsburg
André Hahn,7,30.0,32,2101.0,23.3,5.0,2.0,5.0,0.0,2.9,0.21,0.09,0.12,0.0,56.0,18.0,17.0,41.0,15.0,20.0,73.0,45.0,augsburg
Daniel Caligiuri,5,33.0,28,2004.0,22.3,4.0,2.0,4.0,0.0,4.3,0.18,0.09,0.19,0.0,32.0,43.0,0.0,109.0,18.0,30.0,173.0,53.6,augsburg
Arne Maier,3,22.0,29,1864.0,20.7,1.0,6.0,0.0,0.0,1.5,0.05,0.29,0.07,0.0,11.0,14.0,1.0,97.0,15.0,13.0,127.0,39.0,augsburg
Michael Gregoritsch,7,27.0,25,1392.0,15.5,9.0,0.0,3.0,0.0,5.1,0.58,0.0,0.33,0.0,17.0,13.0,5.0,10.0,6.0,8.0,58.0,62.2,augsburg
Mads Pedersen,5,24.0,29,1391.0,15.5,2.0,1.0,5.0,0.0,1.1,0.13,0.06,0.07,0.0,24.0,30.0,3.0,48.0,15.0,21.0,87.0,31.6,augsburg
Florian Niederlechner,4,30.0,26,1165.0,12.9,5.0,3.0,1.0,0.0,5.0,0.39,0.23,0.39,0.0,14.0,25.0,9.0,5.0,4.0,5.0,34.0,31.8,augsburg
Andi Zeqiri,7,22.0,22,1016.0,11.3,2.0,1.0,2.0,0.0,2.9,0.18,0.09,0.25,0.0,20.0,15.0,12.0,7.0,2.0,7.0,38.0,23.4,augsburg
Carlos Gruezo,3,26.0,17,970.0,10.8,0.0,0.0,7.0,0.0,0.4,0.0,0.0,0.04,0.0,28.0,4.0,0.0,4.0,9.0,11.0,70.0,41.7,augsburg
Raphael Framberger,2,25.0,23,848.0,9.4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,36.0,9.0,19.0,44.0,42.9,augsburg
Ohis Felix Uduokhai,2,23.0,13,787.0,8.7,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.02,0.0,6.0,7.0,0.0,4.0,9.0,6.0,42.0,65.7,augsburg
Jan Morávek,3,31.0,17,471.0,5.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.19,0.0,5.0,2.0,0.0,2.0,6.0,6.0,32.0,40.9,augsburg
Ricardo Pepi,7,18.0,11,477.0,5.3,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.16,0.0,1.0,4.0,3.0,2.0,3.0,2.0,11.0,28.6,augsburg
Tobias Strobl,5,31.0,5,323.0,3.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,6.0,2.0,0.0,2.0,7.0,3.0,24.0,63.6,augsburg
