Player,Pos,Age,MP,Min,90s,Gls,Ast,CrdY,CrdR,xG,Gls/90,Ast/90,xG/90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,Recov,Won%,club
Dimitris Limnios,4,23.0,33,2177.0,24.2,8.0,2.0,2.0,0.0,6.7,0.33,0.08,0.28,0.0,12.0,53.0,6.0,85.0,11.0,13.0,134.0,30.5,twente
Daan Rots,4,20.0,27,1706.0,19.0,3.0,3.0,2.0,0.0,3.4,0.16,0.16,0.18,0.0,17.0,31.0,5.0,34.0,10.0,19.0,101.0,31.5,twente
Gijs Smal,2,23.0,25,1869.0,20.8,2.0,2.0,1.0,0.0,1.3,0.1,0.1,0.06,0.0,12.0,16.0,1.0,66.0,37.0,33.0,146.0,44.2,twente
Mees Hilgers,2,20.0,24,1822.0,20.2,1.0,1.0,1.0,0.0,0.7,0.05,0.05,0.04,0.0,19.0,12.0,2.0,2.0,27.0,45.0,122.0,47.8,twente
Giovanni Troupée,2,23.0,21,1701.0,18.9,0.0,1.0,1.0,0.0,0.4,0.0,0.05,0.02,0.0,19.0,12.0,1.0,11.0,19.0,17.0,93.0,68.5,twente
Julio Pleguezuelo,2,24.0,23,1334.0,14.8,0.0,1.0,3.0,0.0,1.3,0.0,0.07,0.09,0.0,8.0,15.0,0.0,2.0,20.0,10.0,97.0,59.3,twente
Virgil Misidjan,4,28.0,27,1137.0,12.6,3.0,3.0,0.0,0.0,3.2,0.24,0.24,0.25,0.0,24.0,44.0,5.0,56.0,8.0,8.0,91.0,43.5,twente
Joshua Brenet,2,27.0,13,1001.0,11.1,2.0,1.0,4.0,0.0,3.1,0.18,0.09,0.28,0.0,11.0,5.0,1.0,24.0,10.0,15.0,103.0,74.1,twente
Jayden Oosterwolde,2,20.0,14,903.0,10.0,0.0,0.0,2.0,0.0,0.4,0.0,0.0,0.04,0.0,15.0,6.0,0.0,31.0,11.0,10.0,44.0,64.3,twente
Jesse Bosch,3,21.0,26,877.0,9.7,1.0,0.0,0.0,0.0,1.3,0.1,0.0,0.13,0.0,9.0,10.0,0.0,2.0,18.0,10.0,80.0,39.1,twente
Wout Brama,3,34.0,9,641.0,7.1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.02,0.0,7.0,5.0,0.0,2.0,7.0,3.0,34.0,24.0,twente
Manfred Ugalde,7,19.0,25,649.0,7.2,3.0,2.0,2.0,0.0,3.3,0.42,0.28,0.45,0.0,5.0,25.0,0.0,3.0,1.0,4.0,28.0,30.9,twente
Václav Černý,4,23.0,18,543.0,6.0,1.0,1.0,1.0,0.0,1.2,0.17,0.17,0.2,0.0,7.0,0.0,1.0,17.0,5.0,6.0,38.0,9.1,twente
Queensy Menig,4,25.0,3,270.0,3.0,0.0,1.0,2.0,0.0,0.8,0.0,0.33,0.27,0.0,2.0,1.0,0.0,2.0,0.0,0.0,13.0,55.6,twente
Dani de Wit,7,23.0,33,2837.0,31.5,8.0,4.0,4.0,0.0,8.5,0.25,0.13,0.27,0.0,72.0,37.0,17.0,6.0,28.0,44.0,145.0,60.4,az alkmaar
Peter Vindahl Jensen,1,23.0,32,2880.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,66.0,100.0,az alkmaar
Vangelis Pavlidis,4,22.0,33,2495.0,27.7,16.0,5.0,6.0,0.0,15.1,0.58,0.18,0.55,0.0,34.0,30.0,28.0,12.0,12.0,11.0,89.0,50.0,az alkmaar
Bruno Martins Indi,2,29.0,31,2770.0,30.8,2.0,1.0,4.0,0.0,1.5,0.06,0.03,0.05,0.0,27.0,19.0,0.0,11.0,28.0,17.0,172.0,60.2,az alkmaar
Owen Wijndal,2,21.0,31,2683.0,29.8,1.0,10.0,7.0,0.0,1.8,0.03,0.34,0.06,0.0,25.0,31.0,3.0,101.0,31.0,26.0,173.0,46.4,az alkmaar
Yukinari Sugawara,6,21.0,33,2635.0,29.3,1.0,3.0,3.0,0.0,0.9,0.03,0.1,0.03,0.0,28.0,12.0,0.0,118.0,26.0,53.0,195.0,42.6,az alkmaar
Jordy Clasie,3,30.0,30,2410.0,26.8,1.0,0.0,5.0,1.0,0.8,0.04,0.0,0.03,0.0,26.0,18.0,0.0,9.0,43.0,33.0,229.0,38.3,az alkmaar
Fredrik Midtsjø,3,27.0,29,2296.0,25.5,0.0,5.0,5.0,0.0,0.5,0.0,0.2,0.02,0.0,19.0,27.0,1.0,72.0,42.0,20.0,229.0,46.2,az alkmaar
Pantelis Hatzidiakos,2,24.0,28,2102.0,23.4,0.0,0.0,6.0,0.0,0.4,0.0,0.0,0.02,0.0,21.0,9.0,1.0,4.0,22.0,11.0,140.0,55.2,az alkmaar
Aslak Witry,2,25.0,28,1394.0,15.5,1.0,1.0,0.0,0.0,0.4,0.06,0.06,0.03,0.0,10.0,9.0,0.0,34.0,20.0,9.0,118.0,42.9,az alkmaar
Albert Guðmundsson,4,24.0,19,1090.0,12.1,4.0,1.0,4.0,0.0,3.5,0.33,0.08,0.29,0.0,14.0,20.0,2.0,18.0,5.0,3.0,58.0,28.6,az alkmaar
Tijjani Reijnders,3,23.0,33,1305.0,14.5,4.0,2.0,1.0,0.0,2.1,0.28,0.14,0.14,0.0,12.0,12.0,0.0,21.0,22.0,16.0,102.0,39.3,az alkmaar
Håkon Evjen,7,21.0,20,909.0,10.1,2.0,1.0,0.0,0.0,2.2,0.2,0.1,0.22,0.0,7.0,17.0,2.0,16.0,11.0,24.0,78.0,24.0,az alkmaar
Sam Beukema,2,22.0,24,994.0,11.0,3.0,1.0,0.0,0.0,2.7,0.27,0.09,0.24,0.0,5.0,4.0,0.0,2.0,20.0,11.0,68.0,46.8,az alkmaar
Zakaria Aboukhlal,7,21.0,31,815.0,9.1,4.0,1.0,1.0,0.0,4.6,0.44,0.11,0.5,0.0,13.0,13.0,7.0,7.0,6.0,10.0,39.0,43.2,az alkmaar
Timo Letschert,2,28.0,4,287.0,3.2,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.02,0.0,1.0,1.0,0.0,1.0,3.0,3.0,17.0,60.0,az alkmaar
Loïs Openda,4,21.0,33,2649.0,29.4,18.0,2.0,3.0,1.0,18.2,0.61,0.07,0.62,0.0,40.0,64.0,27.0,51.0,6.0,12.0,94.0,43.6,vitesse
Eli Dasa,5,28.0,31,2623.0,29.1,0.0,5.0,1.0,0.0,0.9,0.0,0.17,0.03,0.0,14.0,14.0,2.0,202.0,27.0,19.0,166.0,40.7,vitesse
Danilho Doekhi,2,23.0,29,2604.0,28.9,3.0,0.0,4.0,1.0,2.7,0.1,0.0,0.09,1.0,25.0,16.0,0.0,6.0,39.0,37.0,179.0,71.9,vitesse
Jacob Rasmussen,2,24.0,27,2185.0,24.3,0.0,2.0,5.0,1.0,1.2,0.0,0.08,0.05,0.0,23.0,9.0,0.0,6.0,48.0,29.0,169.0,62.2,vitesse
Maximilian Wittek,5,25.0,25,2226.0,24.7,0.0,6.0,8.0,0.0,2.0,0.0,0.24,0.08,0.0,28.0,36.0,2.0,189.0,32.0,37.0,177.0,42.0,vitesse
Matúš Bero,3,25.0,27,2179.0,24.2,1.0,1.0,12.0,1.0,3.0,0.04,0.04,0.12,1.0,52.0,38.0,1.0,12.0,18.0,21.0,180.0,33.3,vitesse
Riechedly Bazoer,2,24.0,26,1962.0,21.8,1.0,4.0,9.0,0.0,1.0,0.05,0.18,0.05,0.0,21.0,46.0,0.0,40.0,43.0,18.0,201.0,50.0,vitesse
Markus Schubert,1,23.0,20,1755.0,19.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,41.0,100.0,vitesse
Nikolai Baden Frederiksen,4,21.0,24,1304.0,14.5,7.0,1.0,2.0,0.0,4.2,0.48,0.07,0.29,0.0,19.0,16.0,5.0,9.0,2.0,6.0,35.0,29.2,vitesse
Jeroen Houwen,1,25.0,15,1305.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,100.0,vitesse
Toni Domgjoni,3,22.0,19,1072.0,11.9,0.0,1.0,1.0,0.0,0.6,0.0,0.08,0.05,0.0,13.0,7.0,0.0,9.0,11.0,19.0,78.0,40.9,vitesse
Yann Gboho,7,20.0,17,958.0,10.6,2.0,0.0,0.0,0.0,1.1,0.19,0.0,0.11,0.0,13.0,17.0,1.0,4.0,6.0,6.0,58.0,25.0,vitesse
Thomas Buitink,7,21.0,28,1150.0,12.8,2.0,0.0,7.0,1.0,2.9,0.16,0.0,0.23,0.0,17.0,12.0,3.0,17.0,7.0,16.0,53.0,33.3,vitesse
Tomáš Hájek,2,29.0,21,911.0,10.1,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.04,0.0,19.0,4.0,2.0,7.0,13.0,15.0,58.0,47.8,vitesse
Daan Huisman,7,19.0,23,891.0,9.9,0.0,0.0,1.0,0.0,2.3,0.0,0.0,0.23,0.0,10.0,6.0,0.0,14.0,5.0,10.0,62.0,42.9,vitesse
Alois Oroz,5,20.0,21,813.0,9.0,3.0,0.0,4.0,0.0,1.1,0.33,0.0,0.13,0.0,13.0,2.0,0.0,6.0,26.0,8.0,55.0,52.6,vitesse
Million Manhoef,6,19.0,11,760.0,8.4,1.0,2.0,1.0,0.0,0.8,0.12,0.24,0.1,0.0,14.0,6.0,0.0,16.0,7.0,9.0,71.0,40.0,vitesse
Adrian Grbić,7,24.0,14,754.0,8.4,0.0,0.0,0.0,1.0,1.3,0.0,0.0,0.15,0.0,5.0,6.0,7.0,2.0,4.0,4.0,15.0,43.8,vitesse
Enzo Cornelisse,2,18.0,13,834.0,9.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.02,0.0,4.0,9.0,0.0,9.0,12.0,12.0,52.0,55.3,vitesse
Oussama Darfalou,4,27.0,12,537.0,6.0,1.0,2.0,1.0,0.0,2.1,0.17,0.34,0.35,0.0,6.0,5.0,4.0,3.0,2.0,1.0,19.0,37.5,vitesse
Patrick Vroegh,3,21.0,21,653.0,7.3,0.0,0.0,1.0,0.0,0.9,0.0,0.0,0.13,0.0,2.0,1.0,1.0,10.0,4.0,6.0,45.0,26.7,vitesse
Romaric Yapi,6,21.0,11,295.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,5.0,2.0,7.0,18.0,37.5,vitesse
Mike van der Hoorn,2,28.0,31,2571.0,28.6,2.0,2.0,2.0,0.0,3.9,0.07,0.07,0.14,0.0,21.0,31.0,1.0,3.0,35.0,16.0,180.0,65.8,utrecht
Quinten Timber,3,20.0,31,2351.0,26.1,2.0,3.0,4.0,0.0,3.3,0.08,0.11,0.13,0.0,29.0,43.0,1.0,20.0,43.0,34.0,172.0,46.5,utrecht
Anastasios Douvikas,4,21.0,34,2372.0,26.4,9.0,3.0,1.0,0.0,13.6,0.34,0.11,0.51,0.0,40.0,54.0,7.0,8.0,7.0,20.0,61.0,45.4,utrecht
Mark van der Maarel,2,31.0,26,2046.0,22.7,1.0,1.0,10.0,0.0,1.0,0.04,0.04,0.04,0.0,34.0,16.0,2.0,14.0,32.0,41.0,150.0,41.7,utrecht
Bart Ramselaar,7,25.0,26,2000.0,22.2,9.0,0.0,0.0,0.0,6.3,0.41,0.0,0.28,0.0,16.0,12.0,1.0,36.0,9.0,9.0,76.0,34.4,utrecht
Willem Janssen,2,35.0,25,1933.0,21.5,2.0,0.0,6.0,0.0,3.2,0.09,0.0,0.15,0.0,26.0,11.0,1.0,4.0,37.0,13.0,107.0,60.9,utrecht
Django Warmerdam,2,25.0,26,1925.0,21.4,1.0,2.0,3.0,0.0,1.0,0.05,0.09,0.05,0.0,10.0,13.0,0.0,46.0,25.0,33.0,141.0,53.2,utrecht
Hidde ter Avest,2,24.0,26,1839.0,20.4,1.0,2.0,3.0,0.0,1.4,0.05,0.1,0.07,0.0,18.0,6.0,2.0,43.0,39.0,26.0,115.0,65.6,utrecht
Maarten Paes,1,23.0,17,1530.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,36.0,100.0,utrecht
Simon Gustafson,7,26.0,20,1346.0,15.0,3.0,2.0,1.0,0.0,4.0,0.2,0.13,0.27,0.0,8.0,15.0,0.0,45.0,10.0,19.0,103.0,45.2,utrecht
Sander van de Streek,7,28.0,28,1554.0,17.3,4.0,1.0,3.0,0.0,5.2,0.23,0.06,0.3,0.0,25.0,18.0,4.0,11.0,4.0,15.0,80.0,50.0,utrecht
Moussa Sylla,4,21.0,25,1374.0,15.3,6.0,3.0,2.0,0.0,4.0,0.39,0.2,0.27,0.0,11.0,21.0,3.0,95.0,16.0,9.0,83.0,42.6,utrecht
Othman Boussaid,7,21.0,22,1242.0,13.8,0.0,5.0,1.0,0.0,2.3,0.0,0.36,0.17,0.0,6.0,8.0,1.0,52.0,21.0,8.0,104.0,50.0,utrecht
Fabian de Keijzer,1,21.0,14,1214.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,18.0,100.0,utrecht
Djevencio van der Kust,2,20.0,12,963.0,10.7,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.04,0.0,5.0,5.0,2.0,35.0,14.0,20.0,63.0,31.8,utrecht
Joris van Overeem,3,27.0,23,1053.0,11.7,1.0,1.0,2.0,0.0,0.7,0.09,0.09,0.06,0.0,17.0,5.0,2.0,16.0,26.0,14.0,96.0,53.3,utrecht
Mimoun Mahi,7,27.0,21,870.0,9.7,4.0,4.0,0.0,0.0,4.8,0.41,0.41,0.5,0.0,13.0,7.0,7.0,39.0,5.0,9.0,43.0,32.3,utrecht
Remco Balk,7,20.0,17,446.0,5.0,0.0,1.0,0.0,0.0,1.5,0.0,0.2,0.3,0.0,4.0,13.0,0.0,7.0,2.0,3.0,19.0,25.0,utrecht
Arthur Zagre,6,19.0,8,414.0,4.6,1.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,8.0,7.0,0.0,13.0,2.0,5.0,45.0,36.4,utrecht
Henk Veerman,7,28.0,8,413.0,4.6,1.0,0.0,0.0,0.0,2.9,0.22,0.0,0.62,0.0,4.0,0.0,4.0,1.0,0.0,0.0,9.0,57.4,utrecht
Eric Oelschlägel,1,25.0,4,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,100.0,utrecht
Tibor Halilović,7,26.0,31,2579.0,28.7,4.0,2.0,2.0,0.0,5.1,0.14,0.07,0.18,0.0,14.0,35.0,4.0,19.0,19.0,19.0,122.0,63.6,heerenveen
Sven van Beek,2,27.0,29,2565.0,28.5,1.0,0.0,4.0,0.0,2.0,0.04,0.0,0.07,0.0,20.0,10.0,4.0,4.0,45.0,40.0,159.0,61.1,heerenveen
Ibrahim Drešević,2,24.0,27,2055.0,22.8,0.0,0.0,5.0,1.0,0.3,0.0,0.0,0.01,0.0,24.0,14.0,0.0,7.0,36.0,24.0,159.0,51.4,heerenveen
Rami Kaib,2,24.0,23,1858.0,20.6,0.0,1.0,5.0,0.0,1.0,0.0,0.05,0.05,0.0,27.0,21.0,0.0,69.0,18.0,19.0,129.0,48.5,heerenveen
Nicolas Madsen,3,21.0,25,1672.0,18.6,0.0,1.0,2.0,0.0,0.4,0.0,0.05,0.02,0.0,11.0,15.0,2.0,5.0,14.0,14.0,132.0,72.9,heerenveen
Erwin Mulder,1,32.0,19,1665.0,18.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,100.0,heerenveen
Nick Bakker,2,29.0,19,1634.0,18.2,2.0,1.0,1.0,0.0,1.3,0.11,0.06,0.07,0.0,12.0,3.0,0.0,0.0,22.0,13.0,86.0,43.5,heerenveen
Siem de Jong,7,32.0,27,1384.0,15.4,0.0,1.0,0.0,0.0,2.3,0.0,0.07,0.15,0.0,14.0,13.0,4.0,5.0,6.0,14.0,47.0,51.4,heerenveen
Henk Veerman,4,28.0,20,1558.0,17.3,7.0,0.0,0.0,0.0,8.1,0.4,0.0,0.47,0.0,11.0,5.0,14.0,4.0,2.0,5.0,24.0,52.1,heerenveen
Joey Veerman,3,22.0,18,1519.0,16.9,3.0,6.0,1.0,0.0,0.8,0.18,0.36,0.05,0.0,8.0,19.0,0.0,103.0,19.0,16.0,118.0,76.9,heerenveen
Lucas Woudenberg,2,27.0,19,1499.0,16.7,0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.02,0.0,15.0,4.0,1.0,35.0,18.0,14.0,85.0,48.8,heerenveen
Xavier Mous,1,25.0,16,1395.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,100.0,heerenveen
Anthony Musaba,7,20.0,29,1316.0,14.6,1.0,1.0,5.0,1.0,5.4,0.07,0.07,0.37,1.0,15.0,11.0,5.0,25.0,6.0,6.0,49.0,37.5,heerenveen
Thom Haye,3,26.0,14,1226.0,13.6,0.0,5.0,3.0,0.0,0.6,0.0,0.37,0.05,0.0,22.0,17.0,0.0,131.0,14.0,32.0,128.0,52.0,heerenveen
Sydney van Hooijdonk,4,21.0,13,998.0,11.1,6.0,1.0,1.0,0.0,4.4,0.54,0.09,0.4,0.0,15.0,12.0,8.0,12.0,4.0,1.0,20.0,56.7,heerenveen
Amin Sarr,4,20.0,13,1076.0,12.0,5.0,1.0,0.0,0.0,5.0,0.42,0.08,0.42,0.0,9.0,9.0,2.0,6.0,6.0,10.0,27.0,41.7,heerenveen
Anas Tahiri,3,26.0,16,993.0,11.0,1.0,1.0,0.0,0.0,0.7,0.09,0.09,0.06,0.0,4.0,8.0,0.0,16.0,8.0,6.0,85.0,12.5,heerenveen
Filip Stevanovic,7,18.0,21,856.0,9.5,1.0,1.0,2.0,0.0,1.6,0.11,0.11,0.17,0.0,7.0,10.0,5.0,9.0,5.0,5.0,35.0,11.1,heerenveen
Rodney Kongolo,3,23.0,10,620.0,6.9,0.0,1.0,1.0,0.0,0.3,0.0,0.15,0.04,0.0,6.0,9.0,0.0,0.0,8.0,11.0,45.0,70.0,heerenveen
Arjen van der Heide,7,19.0,19,493.0,5.5,0.0,1.0,1.0,0.0,0.6,0.0,0.18,0.11,0.0,10.0,6.0,2.0,16.0,0.0,6.0,26.0,45.5,heerenveen
Benjamin Nygren,7,20.0,17,476.0,5.3,0.0,1.0,0.0,0.0,1.0,0.0,0.19,0.19,0.0,8.0,8.0,2.0,5.0,2.0,12.0,40.0,64.3,heerenveen
Rami Al Hajj,7,19.0,19,469.0,5.2,1.0,0.0,0.0,0.0,1.2,0.19,0.0,0.23,0.0,7.0,7.0,1.0,2.0,3.0,3.0,41.0,21.4,heerenveen
Robin Maulun,3,24.0,31,2652.0,29.5,5.0,6.0,5.0,0.0,4.5,0.17,0.2,0.15,0.0,21.0,15.0,0.0,89.0,13.0,16.0,140.0,25.0,cambuur
Calvin Mac-Intosch,2,31.0,32,2490.0,27.7,0.0,0.0,5.0,0.0,1.1,0.0,0.0,0.04,0.0,19.0,19.0,1.0,3.0,24.0,19.0,139.0,47.9,cambuur
Sonny Stevens,1,29.0,29,2601.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,60.0,100.0,cambuur
Doke Schmidt,2,29.0,30,2493.0,27.7,0.0,1.0,1.0,1.0,0.4,0.0,0.04,0.01,0.0,18.0,22.0,1.0,16.0,46.0,33.0,167.0,54.5,cambuur
Erik Schouten,2,29.0,29,2385.0,26.5,2.0,2.0,2.0,0.0,2.1,0.08,0.08,0.08,0.0,18.0,11.0,1.0,0.0,46.0,21.0,138.0,51.1,cambuur
Mees Hoedemakers,3,23.0,28,2366.0,26.3,3.0,1.0,5.0,0.0,0.9,0.11,0.04,0.03,0.0,30.0,22.0,1.0,51.0,46.0,39.0,190.0,32.7,cambuur
Alex Bangura,2,22.0,27,2413.0,26.8,3.0,0.0,8.0,1.0,1.1,0.11,0.0,0.04,1.0,39.0,54.0,1.0,26.0,29.0,34.0,188.0,42.9,cambuur
Jamie Jacobs,3,23.0,30,1907.0,21.2,5.0,5.0,4.0,0.0,4.1,0.24,0.24,0.19,0.0,28.0,9.0,3.0,23.0,21.0,35.0,99.0,44.3,cambuur
Roberts Uldriķis,4,23.0,21,1541.0,17.1,7.0,0.0,3.0,0.0,6.0,0.41,0.0,0.35,0.0,27.0,14.0,9.0,2.0,7.0,7.0,54.0,57.2,cambuur
Mitchell Paulissen,7,28.0,31,1384.0,15.4,3.0,3.0,5.0,0.0,0.8,0.2,0.2,0.05,0.0,18.0,14.0,2.0,16.0,9.0,12.0,89.0,52.1,cambuur
Tom Boere,4,28.0,22,1266.0,14.1,6.0,1.0,1.0,0.0,4.6,0.43,0.07,0.33,0.0,22.0,14.0,9.0,5.0,0.0,0.0,29.0,41.9,cambuur
Michael Breij,7,24.0,27,1399.0,15.5,2.0,3.0,2.0,0.0,2.1,0.13,0.19,0.13,0.0,18.0,24.0,2.0,26.0,11.0,15.0,87.0,21.2,cambuur
Patrick Joosten,4,25.0,15,965.0,10.7,2.0,3.0,1.0,0.0,1.6,0.19,0.28,0.15,0.0,5.0,19.0,4.0,26.0,2.0,10.0,43.0,33.3,cambuur
Marco Tol,2,23.0,27,1228.0,13.6,2.0,1.0,1.0,0.0,0.9,0.15,0.07,0.06,0.0,6.0,3.0,0.0,0.0,22.0,12.0,62.0,47.9,cambuur
David Sambissa,5,25.0,22,835.0,9.3,3.0,1.0,1.0,0.0,0.5,0.32,0.11,0.05,0.0,8.0,19.0,0.0,22.0,11.0,12.0,48.0,48.3,cambuur
Nick Doodeman,7,24.0,15,586.0,6.5,0.0,3.0,0.0,0.0,0.5,0.0,0.46,0.07,0.0,6.0,3.0,1.0,22.0,5.0,2.0,29.0,33.3,cambuur
Pieter Bos,1,24.0,6,459.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,100.0,cambuur
Sékou Oumar Sylla,2,22.0,5,375.0,4.2,1.0,0.0,3.0,1.0,0.0,0.24,0.0,0.01,1.0,5.0,6.0,0.0,6.0,6.0,5.0,29.0,44.4,cambuur
Jasper Ter Heide,5,22.0,16,477.0,5.3,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.08,0.0,5.0,4.0,0.0,2.0,6.0,12.0,19.0,30.0,cambuur
Jhondly van der Meer,2,19.0,10,426.0,4.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.04,0.0,4.0,1.0,0.0,1.0,10.0,4.0,24.0,30.8,cambuur
Tamás Kiss,7,20.0,11,268.0,3.0,1.0,0.0,1.0,0.0,0.6,0.34,0.0,0.19,0.0,3.0,3.0,0.0,5.0,6.0,6.0,14.0,50.0,cambuur
Vurnon Anita,3,32.0,32,2730.0,30.3,1.0,1.0,3.0,0.0,1.1,0.03,0.03,0.04,0.0,23.0,15.0,0.0,5.0,41.0,22.0,219.0,34.5,rkc waalwijk
Etienne Vaessen,1,26.0,31,2790.0,31.0,0.0,2.0,2.0,0.0,0.0,0.0,0.06,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,56.0,75.0,rkc waalwijk
Ahmed Touba,2,23.0,28,2490.0,27.7,0.0,1.0,7.0,0.0,1.0,0.0,0.04,0.03,0.0,28.0,11.0,1.0,6.0,59.0,31.0,215.0,68.0,rkc waalwijk
Jens Odgaard,7,22.0,30,2468.0,27.4,8.0,6.0,3.0,0.0,9.4,0.29,0.22,0.34,0.0,44.0,63.0,13.0,49.0,9.0,9.0,91.0,44.7,rkc waalwijk
Saïd Bakari,5,26.0,31,2364.0,26.3,1.0,3.0,1.0,0.0,2.1,0.04,0.11,0.08,0.0,4.0,12.0,2.0,78.0,24.0,21.0,162.0,44.4,rkc waalwijk
Michiel Kramer,4,32.0,31,2268.0,25.2,11.0,3.0,8.0,0.0,7.2,0.44,0.12,0.29,0.0,40.0,24.0,17.0,5.0,4.0,3.0,53.0,54.4,rkc waalwijk
Juriën Gaari,2,27.0,30,2319.0,25.8,2.0,1.0,6.0,0.0,1.1,0.08,0.04,0.04,0.0,38.0,17.0,0.0,57.0,35.0,24.0,184.0,56.5,rkc waalwijk
Alexander Büttner,5,32.0,26,1880.0,20.9,3.0,4.0,6.0,0.0,1.9,0.14,0.19,0.09,0.0,28.0,42.0,2.0,186.0,36.0,31.0,109.0,50.0,rkc waalwijk
Ayman Azhil,3,20.0,28,1678.0,18.6,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.03,0.0,22.0,2.0,2.0,5.0,18.0,21.0,115.0,38.5,rkc waalwijk
Shawn Adewoye,2,21.0,22,1717.0,19.1,0.0,0.0,5.0,1.0,0.3,0.0,0.0,0.01,0.0,34.0,8.0,0.0,0.0,49.0,13.0,118.0,60.0,rkc waalwijk
Richard van der Venne,3,29.0,22,1350.0,15.0,5.0,3.0,4.0,0.0,3.5,0.33,0.2,0.23,0.0,24.0,20.0,0.0,17.0,8.0,16.0,72.0,41.5,rkc waalwijk
Dario Van den Buijs,2,25.0,15,1050.0,11.7,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.04,0.0,10.0,4.0,0.0,13.0,37.0,12.0,75.0,49.0,rkc waalwijk
Finn Stokkers,7,25.0,26,1119.0,12.4,4.0,4.0,0.0,0.0,3.0,0.32,0.32,0.24,0.0,10.0,11.0,12.0,11.0,1.0,5.0,40.0,41.4,rkc waalwijk
Iliass Bel Hassani,7,28.0,20,841.0,9.3,0.0,2.0,1.0,0.0,0.6,0.0,0.21,0.07,0.0,1.0,12.0,1.0,37.0,5.0,7.0,37.0,40.0,rkc waalwijk
Yassin Oukili,3,20.0,21,904.0,10.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.08,0.0,24.0,6.0,3.0,7.0,15.0,14.0,92.0,37.0,rkc waalwijk
Luuk Wouters,2,22.0,18,584.0,6.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.03,0.0,3.0,2.0,0.0,3.0,8.0,10.0,28.0,46.2,rkc waalwijk
Lennerd Daneels,7,23.0,20,567.0,6.3,0.0,1.0,1.0,0.0,1.0,0.0,0.16,0.15,0.0,12.0,10.0,0.0,28.0,4.0,2.0,29.0,54.5,rkc waalwijk
Thierry Lutonda,2,20.0,9,376.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,8.0,10.0,24.0,16.7,rkc waalwijk
Achraf El Bouchataoui,3,21.0,13,365.0,4.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.11,0.0,10.0,6.0,0.0,22.0,3.0,4.0,35.0,33.3,rkc waalwijk
Bart van Rooij,5,20.0,33,2970.0,33.0,0.0,2.0,3.0,0.0,0.8,0.0,0.06,0.02,0.0,19.0,34.0,1.0,78.0,40.0,64.0,192.0,44.7,nec nijmegen
Lasse Schöne,3,35.0,33,2930.0,32.6,2.0,2.0,7.0,0.0,1.1,0.06,0.06,0.03,0.0,22.0,27.0,0.0,148.0,55.0,27.0,257.0,52.7,nec nijmegen
Souffian El Karouani,2,20.0,31,2559.0,28.4,0.0,1.0,3.0,1.0,1.6,0.0,0.04,0.06,0.0,26.0,58.0,2.0,129.0,28.0,38.0,184.0,36.8,nec nijmegen
Iván Márquez,2,27.0,30,2607.0,29.0,0.0,0.0,6.0,1.0,1.3,0.0,0.0,0.05,0.0,20.0,15.0,2.0,2.0,47.0,19.0,116.0,57.6,nec nijmegen
