Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Giovanni Simeone,ar ARG,FW,27-340,25,1,407.0,4.5,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,1.4,1.4,1.2,2.5,11.0,9.0,34.0,0.88,0.22,1.11,0.88,1.11,0.3,0.26,0.56,0.3,0.56,Matches,napoli
Gianluca Gaetano,it ITA,MF,23-036,8,0,75.0,0.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.2,1.2,4.0,4.0,9.0,1.2,1.2,2.4,1.2,2.4,1.42,0.22,1.64,1.42,1.64,Matches,napoli
Karim Zedadka,fr FRA,FW,23-001,3,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,napoli
Adam Ounas,dz ALG,FW,26-211,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,napoli
Alessandro Zanoli,it ITA,DF,22-250,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47,Matches,napoli
Hubert Idasiak,pl POL,GK,21-127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,napoli
Davide Marfella,it ITA,GK,23-268,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,napoli
Felipe Anderson,br BRA,FW,30-056,38,35,2958.0,32.9,9.0,2.0,11.0,9.0,0.0,0.0,3.0,0.0,6.0,6.0,4.8,10.9,83.0,114.0,224.0,0.27,0.06,0.33,0.27,0.33,0.18,0.15,0.33,0.18,0.33,Matches,lazio
Sergej Milinković-Savić,rs SRB,MF,28-103,36,34,3022.0,33.6,9.0,8.0,17.0,9.0,0.0,0.0,10.0,0.0,6.8,6.8,7.1,13.9,47.0,166.0,129.0,0.27,0.24,0.51,0.27,0.51,0.2,0.21,0.41,0.2,0.41,Matches,lazio
Alessio Romagnoli,it ITA,DF,28-149,34,33,2922.0,32.5,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.4,1.4,0.1,1.6,3.0,62.0,3.0,0.06,0.0,0.06,0.06,0.06,0.04,0.0,0.05,0.04,0.05,Matches,lazio
